property,value,note,source
countries,8,,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
year,2025,one complete calendar year,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
country-hours,70075,,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
price intervals,123096,,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Germany,15min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: France,60min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Spain,15min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Poland,15min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Netherlands,15min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Belgium,60min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Austria,15min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
native resolution: Italy,60min,aggregated to hourly for comparability,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
everything aggregated to hourly,1,"countries report at 15-minute or hourly resolution; comparing them requires one grid, and averaging preserves power rather than turning it into energy","Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
storage counted as generation,0,pumped-storage output and consumption are both excluded. Counting the output as renewable would double-count the electricity used to fill it,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
imports counted as generation,0,"cross-border trade is excluded, so a share here is of domestic generation and not of domestic consumption -- a country importing renewable power looks less renewable than its consumption is","Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
distribution-level solar included,0,"ENTSO-E transparency covers transmission-connected plant. Rooftop solar is largely invisible, which understates the solar share in every country here and understates it most in the sunniest ones","Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
"timestamps are UTC, year boundaries are local",1,"the API takes start and end in the market's local time, so a request for a calendar year returns a series labelled from 23:00 on 31 December -- central European time is UTC+1 in winter. It is a full local year","Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
prices are day-ahead,1,"the day-ahead auction, not intraday or balancing. A negative day-ahead price is a real settled price, not a modelled one","Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
curtailment,0,"generation that was paid to switch off does not appear as generation, so the renewable share understates what was available","Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
