label,word,count,pct_of_label_function_words,language,source
0,sa,4594,7.317,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,the,4328,6.893,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,na,4105,6.538,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,ang,3505,5.583,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,to,3328,5.301,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,for,2833,4.512,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,and,2765,4.404,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,ng,2382,3.794,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,is,2004,3.192,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,of,1884,3.001,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,at,1686,2.685,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,mga,1442,2.297,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,in,1299,2.069,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,para,1130,1.8,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,ni,1021,1.626,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,you,946,1.507,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,lang,925,1.473,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,on,844,1.344,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,this,800,1.274,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,we,791,1.26,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,na,4863,7.866,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,sa,4422,7.153,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,ang,4068,6.58,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,ng,3686,5.962,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,the,2960,4.788,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,to,2338,3.782,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,ni,2121,3.431,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,mga,2101,3.398,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,and,1847,2.988,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,at,1630,2.637,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,is,1546,2.501,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,pa,1521,2.46,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,lang,1520,2.459,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,of,1380,2.232,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,yung,1285,2.079,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,for,1138,1.841,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,kay,1006,1.627,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,naman,969,1.567,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,hindi,963,1.558,tagalog,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
1,in,868,1.404,english,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
